periode_data,wilayah,kecamatan,volume_sampah,total_sampah_residu,rata_rata
202405,KOTA ADM. JAKARTA PUSAT,Senen,451.38,450,14.52
202405,KOTA ADM. JAKARTA PUSAT,Sawah Besar,724.68,724,23.35
202405,KOTA ADM. JAKARTA PUSAT,Menteng,876.74,873,28.16
202405,KOTA ADM. JAKARTA PUSAT,Gambir,698.3,696,22.45
202405,KOTA ADM. JAKARTA UTARA,Cilincing,919.7,902,29.1
202405,KOTA ADM. JAKARTA UTARA,Kelapa Gading,372.53,371,11.97
202405,KOTA ADM. JAKARTA UTARA,Koja,609.22,595,19.19
202405,KOTA ADM. JAKARTA UTARA,Tanjung Priok,1228.71,1212,39.1
202405,KOTA ADM. JAKARTA UTARA,Pademangan,683.21,668,21.55
202405,KOTA ADM. JAKARTA UTARA,Penjaringan,1903.31,1882,60.71
202405,KOTA ADM. JAKARTA BARAT,Kembangan,1446.72,1376,44.39
202405,KOTA ADM. JAKARTA BARAT,Palmerah,928.57,879,28.35
202405,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,1342.59,1334,43.03
202405,KOTA ADM. JAKARTA BARAT,Tambora,1352.3,1332,42.97
202405,KOTA ADM. JAKARTA BARAT,Grogol Petamburan,1206.48,982,31.68
202405,KOTA ADM. JAKARTA BARAT,Tamansari,811.68,768,24.77
202405,KOTA ADM. JAKARTA BARAT,Kalideres,1128.53,926,29.87
202405,KOTA ADM. JAKARTA BARAT,Cengkareng,1940.93,1577,50.87
202405,KOTA ADM. JAKARTA SELATAN,Jagakarsa,1807.41,1790,57.74
202405,KOTA ADM. JAKARTA SELATAN,Pasar Minggu,546.35,493,15.9
202405,KOTA ADM. JAKARTA SELATAN,Pancoran,449.07,416,13.42
202405,KOTA ADM. JAKARTA SELATAN,Tebet,625.52,610,19.68
202405,KOTA ADM. JAKARTA SELATAN,Setiabudi,529.83,523,16.87
202405,KOTA ADM. JAKARTA SELATAN,Mampang Prapatan,597.51,559,18.03
202405,KOTA ADM. JAKARTA SELATAN,Cilandak,729.19,615,19.84
202405,KOTA ADM. JAKARTA SELATAN,Kebayoran Baru,782.14,778,25.1
202405,KOTA ADM. JAKARTA SELATAN,Kebayoran Lama,502.64,498,16.06
202405,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,604.53,602,19.42
202405,KOTA ADM. JAKARTA TIMUR,Ciracas,527.48,512,16.52
202405,KOTA ADM. JAKARTA TIMUR,Cipayung,410.11,310,10
202405,KOTA ADM. JAKARTA TIMUR,Makasar,966.6,573,18.48
202405,KOTA ADM. JAKARTA TIMUR,Pasar Rebo,917.97,906,29.23
202405,KOTA ADM. JAKARTA TIMUR,Kramat Jati,922.28,898,28.97
202405,KOTA ADM. JAKARTA TIMUR,Jatinegara,5527.14,686,22.13
202405,KOTA ADM. JAKARTA TIMUR,Matraman,463.58,458,14.77
202405,KOTA ADM. JAKARTA TIMUR,Duren Sawit,1332.46,530,17.1
202405,KOTA ADM. JAKARTA TIMUR,Pulo Gadung,723.49,719,23.19
202405,KOTA ADM. JAKARTA TIMUR,Cakung,1768.5,1607,51.84
202406,KOTA ADM. JAKARTA PUSAT,Tanah Abang,1011.2,874,29.13
202406,KOTA ADM. JAKARTA PUSAT,Kemayoran,1137.77,1136.5,37.88
202406,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,443.75,443,14.77
202406,KOTA ADM. JAKARTA PUSAT,Johar Baru,722.66,722,24.07
